Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
01/02,3.54366730836873,3.29534908136233,2.75647913509562,2.60048288034842
01/03,3.70122442663459,3.29534908136233,2.85530081330334,2.60048288034842
01/06,3.76844265923841,3.29534908136233,2.89744872274489,2.60048288034842
01/07,3.35711904060914,3.29534908136233,2.63941167253954,2.60048288034842
01/08,3.46285638708379,3.29534908136233,2.70578116221896,2.60048288034842
01/09,3.34712466001603,3.29534908136233,2.6331373681465,2.60048288034842
01/10,3.43817886430042,3.29534908136233,2.6902932500678,2.60048288034842
01/13,3.64348523777351,3.29534908136233,2.81911382234585,2.60048288034842
01/14,3.80485727669526,3.29534908136233,2.92031953101792,2.60048288034842
01/15,3.72039962463155,3.13592212660392,2.89673161795161,2.45387814812092
01/16,3.85203384636319,3.13592212660392,2.97956613452153,2.45387814812092
01/17,3.77884294598205,3.13592212660392,2.93351240492987,2.45387814812092
01/21,3.54525220370951,3.13592212660392,2.78646877681634,2.45387814812092
01/22,3.53532482367418,3.13592212660392,2.78020449104786,2.45387814812092
01/23,3.54864791914318,3.13592212660392,2.78859339658841,2.45387814812092
01/24,3.47215658942825,3.13592212660392,2.74042633898952,2.45387814812092
01/27,3.45820643591472,3.13592212660392,2.73164074874539,2.45387814812092
01/28,3.35146863624147,3.13592212660392,2.66440913419363,2.45387814812092
01/29,3.35774801071649,3.13592212660392,2.66836485660609,2.45387814812092
01/30,3.32986590220001,3.13592212660392,2.6507998640549,2.45387814812092
01/31,3.39014387877077,3.13592212660392,2.47937594881571,2.3314689227717
02/03,3.37231960411448,3.13592212660392,2.46833924468055,2.3314689227717
02/04,3.22227068743559,3.13592212660392,2.37188234138588,2.3314689227717
02/05,3.23149189528742,3.13592212660392,2.37759319966968,2.3314689227717
02/06,3.17455288348034,3.13592212660392,2.34232755928734,2.3314689227717
02/07,3.16747460164857,3.13592212660392,2.33794318479399,2.3314689227717
02/10,3.18960026157116,3.13592212660392,2.35164780816273,2.3314689227717
02/11,3.30376418388751,3.13592212660392,2.42236411577514,2.3314689227717
02/12,4.03159663240737,3.86747064872646,3.08350738302807,2.94258229524922
02/14,3.94148342599627,3.86747064872646,3.02120848353784,2.94258229524922
